1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811,0.28243,0.254187,0.228768,0.205891,0.185302,0.166772,0.150095,0.135085
0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811,0.28243,0.254187,0.228768,0.205891,0.185302,0.166772,0.150095
0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811,0.28243,0.254187,0.228768,0.205891,0.185302,0.166772
0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811,0.28243,0.254187,0.228768,0.205891,0.185302
0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811,0.28243,0.254187,0.228768,0.205891
0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811,0.28243,0.254187,0.228768
0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811,0.28243,0.254187
0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811,0.28243
0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678,0.313811
0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742,0.348678
0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467,0.38742
0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297,0.430467
0.28243,0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.478297
0.254187,0.28243,0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
0.228768,0.254187,0.28243,0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561,0.59049
0.205891,0.228768,0.254187,0.28243,0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729,0.6561
0.185302,0.205891,0.228768,0.254187,0.28243,0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81,0.729
0.166772,0.185302,0.205891,0.228768,0.254187,0.28243,0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9,0.81
0.150095,0.166772,0.185302,0.205891,0.228768,0.254187,0.28243,0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1,0.9
0.135085,0.150095,0.166772,0.185302,0.205891,0.228768,0.254187,0.28243,0.313811,0.348678,0.38742,0.430467,0.478297,0.531441,0.59049,0.6561,0.729,0.81,0.9,1
